"Ticker symbol","Security","SEC filings","GICS Sector","GICS Sub Industry","Address of Headquarters","Date first added","CIK"
"MMM","3M Company","reports","Industrials","Industrial Conglomerates","St. Paul, Minnesota","","0000066740"
"ABT","Abbott Laboratories","reports","Health Care","Health Care Equipment","North Chicago, Illinois","1964-03-31","0000001800"
"ABBV","AbbVie","reports","Health Care","Pharmaceuticals","North Chicago, Illinois","2012-12-31","0001551152"
"ACN","Accenture plc","reports","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06","0001467373"
"ATVI","Activision Blizzard","reports","Information Technology","Home Entertainment Software","Santa Monica, California","2015-08-31","0000718877"
"AYI","Acuity Brands Inc","reports","Industrials","Electrical Components & Equipment","Atlanta, Georgia","2016-05-03","0001144215"
"ADBE","Adobe Systems Inc","reports","Information Technology","Application Software","San Jose, California","1997-05-05","0000796343"
"AAP","Advance Auto Parts","reports","Consumer Discretionary","Automotive Retail","Roanoke, Virginia","2015-07-09","0001158449"
"AES","AES Corp","reports","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","","0000874761"
"AET","Aetna Inc","reports","Health Care","Managed Health Care","Hartford, Connecticut","1976-06-30","0001122304"
"AMG","Affiliated Managers Group Inc","reports","Financials","Asset Management & Custody Banks","Beverly, Massachusetts","2014-07-01","0001004434"
"AFL","AFLAC Inc","reports","Financials","Life & Health Insurance","Columbus, Georgia","","0000004977"
"A","Agilent Technologies Inc","reports","Health Care","Health Care Equipment","Santa Clara, California","","0001090872"
"APD","Air Products & Chemicals Inc","reports","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30","0000002969"
"AKAM","Akamai Technologies Inc","reports","Information Technology","Internet Software & Services","Cambridge, Massachusetts","2007-07-12","0001086222"
"ALK","Alaska Air Group Inc","reports","Industrials","Airlines","Seattle, Washington","2016-05-13","0000766421"
"ALB","Albemarle Corp","reports","Materials","Specialty Chemicals","Baton Rouge, Louisiana","2016-07-01","0000915913"
"ALXN","Alexion Pharmaceuticals","reports","Health Care","Biotechnology","Cheshire, Connecticut","2012-05-25","0000899866"
"ALLE","Allegion","reports","Industrials","Building Products","Dublin, Ireland","2013-12-02","0001579241"
"AGN","Allergan, Plc","reports","Health Care","Pharmaceuticals","Dublin, Ireland","","0000884629"
"ADS","Alliance Data Systems","reports","Information Technology","Data Processing & Outsourced Services","Plano, Texas","2013-12-23","0001101215"
"LNT","Alliant Energy Corp","reports","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01","0000352541"
"ALL","Allstate Corp","reports","Financials","Property & Casualty Insurance","Northfield Township, Illinois","","0000899051"
"GOOGL","Alphabet Inc Class A","reports","Information Technology","Internet Software & Services","Mountain View, California","2014-04-03","0001652044"
"GOOG","Alphabet Inc Class C","reports","Information Technology","Internet Software & Services","Mountain View, California","","0001652044"
"MO","Altria Group Inc","reports","Consumer Staples","Tobacco","Richmond, Virginia","","0000764180"
"AMZN","Amazon.com Inc","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2005-11-18","0001018724"
"AEE","Ameren Corp","reports","Utilities","MultiUtilities","St. Louis, Missouri","1991-09-19","0001002910"
"AAL","American Airlines Group","reports","Industrials","Airlines","Fort Worth, Texas","2015-03-23","0000006201"
"AEP","American Electric Power","reports","Utilities","Electric Utilities","Columbus, Ohio","","0000004904"
"AXP","American Express Co","reports","Financials","Consumer Finance","New York, New York","1976-06-30","0000004962"
"AIG","American International Group, Inc.","reports","Financials","Property & Casualty Insurance","New York, New York","1980-03-31","0000005272"
"AMT","American Tower Corp A","reports","Real Estate","Specialized REITs","Boston, Massachusetts","2007-11-19","0001053507"
"AWK","American Water Works Company Inc","reports","Utilities","Water Utilities","Voorhees, New Jersey","2016-03-04","0001410636"
"AMP","Ameriprise Financial","reports","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","","0000820027"
"ABC","AmerisourceBergen Corp","reports","Health Care","Health Care Distributors","Chesterbrook, Pennsylvania","","0001140859"
"AME","AMETEK Inc","reports","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23","0001037868"
"AMGN","Amgen Inc","reports","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02","0000318154"
"APH","Amphenol Corp","reports","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30","0000820313"
"APC","Anadarko Petroleum Corp","reports","Energy","Oil & Gas Exploration & Production","The Woodlands, Texas","","0000773910"
"ADI","Analog Devices, Inc.","reports","Information Technology","Semiconductors","Norwood, Massachusetts","","0000006281"
"ANTM","Anthem Inc.","reports","Health Care","Managed Health Care","Indianapolis, Indiana","","0001156039"
"AON","Aon plc","reports","Financials","Insurance Brokers","London, United Kingdom","","0000315293"
"APA","Apache Corporation","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","","0000006769"
"AIV","Apartment Investment & Mgmt","reports","Real Estate","REITs","Denver, Colorado","","0000922864"
"AAPL","Apple Inc.","reports","Information Technology","Computer Hardware","Cupertino, California","1982-11-30","0000320193"
"AMAT","Applied Materials Inc","reports","Information Technology","Semiconductor Equipment","Santa Clara, California","","0000006951"
"ADM","Archer-Daniels-Midland Co","reports","Consumer Staples","Agricultural Products","Decatur, Illinois","1981-07-29","0000007084"
"ARNC","Arconic Inc","reports","Industrials","Aerospace & Defense","New York, New York","1964-03-31","0000004281"
"AJG","Arthur J. Gallagher & Co.","reports","Financials","Insurance Brokers","Itasca, Illinois","2016-05-31","0000354190"
"AIZ","Assurant Inc","reports","Financials","Multi-line Insurance","New York, New York","2007-04-10","0001267238"
"T","AT&T Inc","reports","Telecommunications Services","Integrated Telecommunications Services","Dallas, Texas","1983-11-30","0000732717"
"ADSK","Autodesk Inc","reports","Information Technology","Application Software","San Rafael, California","1989-12-01","0000769397"
"ADP","Automatic Data Processing","reports","Information Technology","Internet Software & Services","Roseland, New Jersey","1981-03-31","0000008670"
"AN","AutoNation Inc","reports","Consumer Discretionary","Specialty Stores","Fort Lauderdale, Florida","","0000350698"
"AZO","AutoZone Inc","reports","Consumer Discretionary","Specialty Stores","Memphis, Tennessee","","0000866787"
"AVB","AvalonBay Communities, Inc.","reports","Real Estate","Residential REITs","Arlington, Virginia[3]","2007-01-10","0000915912"
"AVY","Avery Dennison Corp","reports","Materials","Paper Packaging","Glendale, California","1987-12-31","0000008818"
"BHI","Baker Hughes Inc","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","","0000808362"
"BLL","Ball Corp","reports","Materials","Metal & Glass Containers","Broomfield, Colorado","1984-10-31","0000009389"
"BAC","Bank of America Corp","reports","Financials","Banks","Charlotte, North Carolina","1976-06-30","0000070858"
"BCR","Bard (C.R.) Inc.","reports","Health Care","Health Care Equipment","Murray Hill, New Jersey","1975-06-30","0000009892"
"BAX","Baxter International Inc.","reports","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30","0000010456"
"BBT","BB&T Corporation","reports","Financials","Banks","Winston-Salem, North Carolina","","0000092230"
"BDX","Becton Dickinson","reports","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30","0000010795"
"BBBY","Bed Bath & Beyond","reports","Consumer Discretionary","Specialty Stores","Union, New Jersey","","0000886158"
"BRK.B","Berkshire Hathaway","reports","Financials","Multi-Sector Holdings","Omaha, Nebraska","2010-02-16","0001067983"
"BBY","Best Buy Co. Inc.","reports","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","","0000764478"
"BIIB","BIOGEN IDEC Inc.","reports","Health Care","Biotechnology","Weston, Massachusetts","","0000875045"
"BLK","BlackRock","reports","Financials","Asset Management & Custody Banks","New York, New York","2011-04-04","0001364742"
"HRB","Block H&R","reports","Financials","Consumer Finance","Kansas City, Missouri","1986-11-30","0000012659"
"BA","Boeing Company","reports","Industrials","Aerospace & Defense","Chicago, Illinois","","0000012927"
"BWA","BorgWarner","reports","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills, Michigan","2011-12-19","0000908255"
"BXP","Boston Properties","reports","Real Estate","REITs","Boston, Massachusetts","","0001037540"
"BSX","Boston Scientific","reports","Health Care","Health Care Equipment","Marlborough, Massachusetts[4]","","0000885725"
"BMY","Bristol-Myers Squibb","reports","Health Care","Health Care Distributors","New York, New York","","0000014272"
